#{"t_start": 1785149368.139254, "env_id": "None"}
r,l,t
-724.68748,52,12.558215
-245.024276,52,12.570244
-180.975818,52,12.582652
-171.090933,52,12.594988
-819.418911,52,12.606933
-174.272705,52,12.618751
-752.575209,52,12.631155
-257.266656,52,12.643745
-197.531359,52,12.656122
-355.474086,52,12.668086
-136.498077,52,12.680726
-847.839878,52,12.693132
-440.816456,52,12.705027
-244.97072,52,12.716926
-177.227458,52,12.729115
-533.922199,52,12.74141
-372.781305,52,12.753637
-184.577398,52,12.76577
-386.039003,52,12.77847
-364.029164,52,12.79066
-452.613939,52,12.80265
-237.624334,52,12.814522
-553.46303,52,12.826865
-1598.887683,52,12.83929
-196.889741,52,12.851604
-488.471208,52,12.863601
-245.958747,52,12.876156
-296.065469,52,12.888401
-329.904542,52,12.900442
-767.684619,52,12.912412
-511.245267,52,12.924488
-881.508776,52,12.936837
-486.689408,52,12.949703
-323.674384,52,12.962032
-493.985911,52,12.974835
-390.662228,52,12.987047
-245.89565,52,12.998988
-714.970815,52,13.010874
-780.976934,52,13.023175
-1147.189341,52,13.035566
-748.674776,52,13.047554
-1089.788805,52,13.05982
-709.527747,52,13.072686
-1204.900445,52,13.085091
-456.405298,52,13.097203
-486.964435,52,13.109105
-391.425203,52,13.121434
-181.331546,52,13.133314
-715.243956,52,13.145599
-527.281106,52,13.157886
-432.895856,52,13.170808
-506.796272,52,13.183097
-292.065812,52,13.195322
-425.061003,52,13.207181
-302.057094,52,13.219932
-516.4464,52,13.232031
-180.265138,52,13.243725
-553.68358,52,13.25561
-410.788275,52,13.267735
-863.221935,52,13.279827
-815.008035,52,13.291951
-229.035996,52,13.303949
-215.402523,52,13.316495
-437.442874,52,13.328783
-801.285841,52,13.340983
-607.659494,52,13.352834
-363.28723,52,13.364792
-629.984254,52,13.377148
-227.939175,52,13.389579
-220.492456,52,13.401449
-659.816661,52,13.414278
-429.322213,52,13.426601
-382.534988,52,13.438613
-483.278464,52,13.450516
-1078.034317,52,13.462855
-309.13691,52,13.475048
-969.932811,52,13.487499
-553.093753,52,13.499529
-402.285074,52,13.512329
-543.665251,52,13.524649
-399.209899,52,13.536728
-799.152615,52,13.548661
-314.17751,52,13.560789
-307.706231,52,13.573062
-1093.700491,52,13.585473
-415.792176,52,13.59758
-200.398643,52,13.610182
-474.194614,52,13.622608
-531.993218,52,13.634569
-417.234498,52,13.64649
-341.003967,52,13.658744
-379.600655,52,13.671447
-693.078493,52,13.683659
-425.097725,52,13.695718
-277.019772,52,13.70817
-569.913973,52,13.720553
-694.800436,52,13.732653
-345.087176,52,13.744553
-336.64325,52,13.7568
-442.416183,52,13.769143
-603.995696,52,13.781189
-709.706371,52,13.793492
-256.263369,52,13.806291
-400.670985,52,13.818475
-505.726971,52,13.830453
-402.457604,52,13.84241
-409.463309,52,13.855486
-540.298548,52,13.867466
-713.076613,52,13.879452
-402.80326,52,13.891473
-445.800025,52,13.904639
-226.526425,52,13.916743
-494.601029,52,13.92869
-154.887388,52,13.940585
-386.38287,52,13.953203
-887.719411,52,13.965233
-191.162025,52,13.977413
-858.410797,52,13.989309
-450.863264,52,14.002189
-577.916393,52,14.014081
-252.841766,52,14.026057
-258.137776,52,14.037966
-990.618694,52,14.050352
-538.086098,52,14.062485
-285.600966,52,14.074581
-716.922938,52,14.086585
-585.595887,52,14.099379
-301.329436,52,14.111641
-1519.242263,52,14.123653
-241.108229,52,14.135507
-185.60708,52,14.147618
-663.140552,52,14.160204
-212.269324,52,14.172612
-320.939901,52,14.184516
-629.728752,52,14.197296
-260.522015,52,14.209539
-304.033328,52,14.22151
-742.87288,52,14.233347
-271.493813,52,14.245457
-735.939279,52,14.257965
-669.277219,52,14.270187
-440.182956,52,14.282222
-145.118532,52,14.294871
-393.179648,52,14.307184
-249.489027,52,14.318976
-1157.969876,52,14.331005
-440.297428,52,14.343177
-173.060551,52,14.355658
-835.197135,52,14.367943
-859.34104,52,14.379931
-506.228801,52,14.392754
-584.903794,52,14.404928
-361.898908,52,14.416856
-616.668047,52,14.428823
-470.29319,52,14.441103
-875.571287,52,14.453442
-161.305205,52,14.465289
-242.584305,52,14.477421
-535.77337,52,14.490015
-414.896018,52,14.50218
-568.998486,52,14.514151
-559.334175,52,14.526057
-334.298146,52,14.539003
-984.087694,52,14.551082
-168.656897,52,14.563002
-385.594086,52,14.574852
-908.691002,52,14.587757
-674.984984,52,14.599543
-1270.225401,52,14.611515
-512.918972,52,14.623272
-983.83022,52,14.63643
-264.399456,52,14.648437
-641.661633,52,14.66043
-257.125322,52,14.672425
-337.932545,52,14.684933
-612.928999,52,14.697072
-287.865202,52,14.709414
-366.626364,52,14.721452
-337.596968,52,14.734315
-415.64692,52,14.746365
-361.314751,52,14.758003
-596.855221,52,14.769957
-1494.066948,52,14.782216
-341.660623,52,14.794506
-472.357139,52,14.806688
-541.386354,52,14.818723
-345.89152,52,14.831258
-1370.408199,52,14.843757
-567.947368,52,14.855808
-498.032401,52,14.867644
-372.122964,52,14.880101
-198.228697,52,14.892713
-689.106861,52,14.905022
-485.594739,52,14.917039
-366.133692,52,14.929949
-309.310768,52,14.942177
-423.787303,52,14.954108
-341.069882,52,14.965931
-221.520082,52,14.978156
-329.893515,52,14.990384
-247.023733,52,15.002637
-526.133354,52,15.014666
-215.839203,52,15.027153
-403.395379,52,15.039521
