rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/loss,time/episodes,train/n_updates,rollout/exploration_rate,rollout/ep_len_mean,time/time_elapsed,time/fps
-452.7995078300001,34944,0.001,2.2838797569274902,672,8710,0.05,52.0,7,4403
-440.7502739799999,35152,0.001,8.734647750854492,676,8762,0.05,52.0,8,4393
-435.8580596199999,35360,0.001,4.03070592880249,680,8814,0.05,52.0,8,4390
-424.0122449100001,35568,0.001,4.309718608856201,684,8866,0.05,52.0,8,4390
-424.54513115000003,35776,0.001,5.402694225311279,688,8918,0.05,52.0,8,4389
-435.67468851999996,35984,0.001,3.39030385017395,692,8970,0.05,52.0,8,4386
-441.3515793700001,36192,0.001,7.493204116821289,696,9022,0.05,52.0,8,4385
-449.92556995000007,36400,0.001,8.8673095703125,700,9074,0.05,52.0,8,4384
-464.06341497999995,36608,0.001,3.6854474544525146,704,9126,0.05,52.0,8,4384
-471.03599653,36816,0.001,3.724551200866699,708,9178,0.05,52.0,8,4383
-464.6247117,37024,0.001,6.215999603271484,712,9230,0.05,52.0,8,4382
-469.9600470700001,37232,0.001,2.9493985176086426,716,9282,0.05,52.0,8,4382
-474.15337308999995,37440,0.001,4.330503463745117,720,9334,0.05,52.0,8,4381
-475.70034754,37648,0.001,4.469990253448486,724,9386,0.05,52.0,8,4380
-487.10560705999995,37856,0.001,5.151620864868164,728,9438,0.05,52.0,8,4379
-479.98091713,38064,0.001,9.192593574523926,732,9490,0.05,52.0,8,4379
-494.80883121000005,38272,0.001,4.695211887359619,736,9542,0.05,52.0,8,4378
-490.26502792000014,38480,0.001,5.557082653045654,740,9594,0.05,52.0,8,4377
-490.9529161600001,38688,0.001,10.408706665039062,744,9646,0.05,52.0,8,4376
-501.05298504,38896,0.001,5.255557060241699,748,9698,0.05,52.0,8,4376
-511.9807564799999,39104,0.001,3.868649959564209,752,9750,0.05,52.0,8,4375
-504.01397141999985,39312,0.001,10.10207748413086,756,9802,0.05,52.0,8,4374
-515.69769798,39520,0.001,7.631047248840332,760,9854,0.05,52.0,9,4374
-512.15621205,39728,0.001,5.892955780029297,764,9906,0.05,52.0,9,4373
-510.97096596000006,39936,0.001,8.360770225524902,768,9958,0.05,52.0,9,4372
